filename,xmin,ymin,xmax,ymax,class_name,class
007359.png,400.29,158.29,492.82,197.37,DontCare,-1
007359.png,875.12,155.21,911.12,195.32,DontCare,-1
006786.png,497.06,168.77,525.23,180.27,DontCare,-1
006786.png,544.98,167.73,553.36,175.06,DontCare,-1
006786.png,615.81,159.4,627.31,184.44,DontCare,-1
006939.png,611.65,170.85,625.23,182.35,DontCare,-1
002929.png,511.5,165.65,568.72,194.41,DontCare,-1
004786.png,126.2,174.46,135.72,199.28,DontCare,-1
006937.png,321.9,174.55,370.77,273.28,DontCare,-1
006937.png,469.42,177.67,488.16,224.46,DontCare,-1
006937.png,708.36,182.86,741.64,221.34,DontCare,-1
001247.png,169.95,192.18,204.53,204.76,DontCare,-1
001247.png,465.57,173.42,494.97,193.12,DontCare,-1
000765.png,881.29,155.21,907.01,194.29,DontCare,-1
001621.png,315.5,174.71,425.76,206.05,DontCare,-1
001328.png,8.52,166.69,493.98,231.31,DontCare,-1
006926.png,552.27,159.4,589.81,190.69,DontCare,-1
006926.png,632.48,165.65,652.31,187.57,DontCare,-1
002738.png,440.99,170.18,475.57,178.88,DontCare,-1
002738.png,532.85,163.71,566.13,176.94,DontCare,-1
002738.png,646.7,162.42,686.45,180.18,DontCare,-1
002199.png,811.0,176.65,846.23,198.29,DontCare,-1
005340.png,1058.5,154.19,1239.98,197.98,DontCare,-1
005340.png,89.77,176.06,403.35,216.73,DontCare,-1
005340.png,497.06,173.98,535.64,185.48,DontCare,-1
005340.png,709.56,164.6,749.18,180.27,DontCare,-1
005316.png,710.6,167.73,864.81,190.69,DontCare,-1
005316.png,793.94,193.77,832.52,213.6,DontCare,-1
005316.png,655.4,168.77,670.02,192.77,DontCare,-1
005316.png,590.81,175.02,623.14,183.4,DontCare,-1
000479.png,486.34,173.33,516.62,183.99,DontCare,-1
000479.png,454.8,173.42,469.03,186.92,DontCare,-1
004515.png,428.86,177.3,447.27,192.8,DontCare,-1
004515.png,486.11,178.27,513.25,188.91,DontCare,-1
005299.png,436.65,181.27,459.61,195.9,DontCare,-1
005299.png,536.65,172.94,553.36,184.44,DontCare,-1
007116.png,623.1,168.77,648.14,187.56,DontCare,-1
007116.png,533.52,164.6,565.85,180.27,DontCare,-1
001653.png,752.14,182.47,790.6,205.4,DontCare,-1
002961.png,1038.7,166.95,1117.27,176.3,DontCare,-1
002961.png,566.85,161.48,597.1,177.15,DontCare,-1
005215.png,447.06,173.98,468.98,186.52,DontCare,-1
005215.png,665.81,169.81,712.73,181.31,DontCare,-1
005215.png,834.56,163.56,918.98,179.23,DontCare,-1
005215.png,766.85,168.77,785.64,187.56,DontCare,-1
003079.png,645.26,154.91,682.3,179.7,DontCare,-1
002949.png,572.95,174.06,583.59,183.41,DontCare,-1
002949.png,594.95,170.83,617.88,188.59,DontCare,-1
002949.png,706.21,159.83,821.65,170.47,DontCare,-1
002949.png,1153.2,132.02,1240.0,163.36,DontCare,-1
002949.png,627.94,170.83,637.29,178.89,DontCare,-1
006286.png,12.69,186.48,66.89,211.52,DontCare,-1
006286.png,477.27,175.02,504.39,191.73,DontCare,-1
006286.png,514.77,171.9,527.31,196.94,DontCare,-1
006286.png,611.65,164.6,645.02,193.81,DontCare,-1
002435.png,135.02,193.47,210.35,217.05,DontCare,-1
002435.png,488.21,177.3,529.9,205.41,DontCare,-1
005634.png,880.4,151.06,973.15,176.1,DontCare,-1
005634.png,508.52,178.15,560.64,203.19,DontCare,-1
005634.png,583.52,173.98,635.64,193.81,DontCare,-1
001507.png,424.86,176.25,440.76,188.67,DontCare,-1
001507.png,472.08,165.75,492.08,186.92,DontCare,-1
001507.png,518.94,169.81,542.94,179.23,DontCare,-1
000518.png,458.69,177.98,503.94,198.3,DontCare,-1
000518.png,784.56,179.19,811.68,209.44,DontCare,-1
000518.png,813.73,200.02,864.81,276.1,DontCare,-1
000518.png,212.69,179.19,251.27,242.77,DontCare,-1
000518.png,317.9,182.31,355.44,226.1,DontCare,-1
000518.png,940.81,170.85,998.14,240.68,DontCare,-1
006787.png,802.27,171.9,825.23,185.48,DontCare,-1
007374.png,526.23,155.23,554.4,170.9,DontCare,-1
003512.png,596.24,174.06,616.59,193.11,DontCare,-1
003512.png,490.15,177.94,529.26,191.17,DontCare,-1
003512.png,545.79,174.06,569.37,184.7,DontCare,-1
003512.png,583.3,174.71,594.59,182.77,DontCare,-1
003512.png,704.27,165.01,732.38,173.07,DontCare,-1
003512.png,758.61,165.01,834.59,172.42,DontCare,-1
003512.png,851.76,163.07,867.58,173.07,DontCare,-1
003512.png,909.33,163.71,917.39,176.29,DontCare,-1
003512.png,1038.1,155.3,1059.09,171.12,DontCare,-1
003512.png,1094.3,151.42,1118.53,167.89,DontCare,-1
006156.png,539.42,167.44,610.69,187.18,DontCare,-1
006156.png,615.58,172.75,639.08,183.42,DontCare,-1
006189.png,967.9,185.44,1040.86,202.15,DontCare,-1
006189.png,0.0,176.06,174.0,292.77,DontCare,-1
004464.png,578.29,177.3,594.76,192.8,DontCare,-1
005071.png,495.43,173.32,555.78,187.03,DontCare,-1
002002.png,608.52,175.02,629.39,195.9,DontCare,-1
002002.png,577.48,174.06,595.24,187.94,DontCare,-1
002823.png,668.69,176.0,685.16,184.06,DontCare,-1
002452.png,339.43,176.0,406.35,194.41,DontCare,-1
007350.png,652.27,172.94,692.94,194.86,DontCare,-1
004152.png,488.05,178.27,497.72,186.0,DontCare,-1
000877.png,526.23,170.85,546.06,194.85,DontCare,-1
000877.png,554.35,180.23,574.18,191.73,DontCare,-1
003730.png,618.88,165.65,663.81,202.17,DontCare,-1
003730.png,536.73,176.0,579.07,202.17,DontCare,-1
000720.png,739.77,162.52,768.98,214.65,DontCare,-1
000720.png,714.77,166.69,727.31,206.31,DontCare,-1
000720.png,505.4,162.52,521.07,189.65,DontCare,-1
000720.png,194.98,172.94,381.48,228.19,DontCare,-1
000720.png,426.23,162.52,537.73,209.44,DontCare,-1
000720.png,565.81,151.06,650.23,194.85,DontCare,-1
000720.png,901.23,158.35,930.44,233.39,DontCare,-1
000720.png,1048.0,197.94,1114.5,299.02,DontCare,-1
003213.png,933.91,168.24,956.84,195.7,DontCare,-1
005586.png,563.73,169.81,583.56,185.48,DontCare,-1
002583.png,0.0,142.01,80.89,372.0,DontCare,-1
002583.png,660.73,154.91,691.97,206.78,DontCare,-1
002583.png,638.81,155.55,648.13,173.89,DontCare,-1
002413.png,561.96,168.24,590.07,191.17,DontCare,-1
002413.png,647.99,154.01,694.86,187.94,DontCare,-1
006477.png,482.48,184.4,510.65,195.9,DontCare,-1
006477.png,521.02,180.23,543.98,191.73,DontCare,-1
006962.png,503.31,177.1,538.77,190.68,DontCare,-1
006962.png,555.4,176.06,589.82,184.44,DontCare,-1
003957.png,651.23,189.6,666.9,207.35,DontCare,-1
005706.png,363.59,153.56,418.99,169.27,DontCare,-1
005706.png,454.46,149.38,503.59,165.09,DontCare,-1
005706.png,548.46,153.56,563.13,161.96,DontCare,-1
005228.png,388.73,170.85,435.65,187.56,DontCare,-1
005228.png,463.73,166.69,503.36,181.31,DontCare,-1
003568.png,211.18,162.29,275.46,188.44,DontCare,-1
003568.png,463.91,166.82,510.74,181.33,DontCare,-1
005708.png,655.4,158.35,685.65,182.35,DontCare,-1
002304.png,229.46,178.59,243.34,204.76,DontCare,-1
002304.png,319.38,175.36,365.6,206.7,DontCare,-1
002304.png,526.38,165.01,579.72,180.83,DontCare,-1
002304.png,889.28,139.78,1240.0,180.18,DontCare,-1
003656.png,594.95,168.24,622.41,186.0,DontCare,-1
003656.png,269.57,186.35,300.27,208.64,DontCare,-1
003656.png,402.18,179.24,416.06,187.94,DontCare,-1
004069.png,448.27,176.33,492.88,186.0,DontCare,-1
002645.png,414.47,172.77,581.01,197.65,DontCare,-1
002645.png,248.87,186.35,300.91,203.46,DontCare,-1
002645.png,1003.1,177.94,1038.33,196.35,DontCare,-1
002645.png,1079.5,170.83,1240.0,191.82,DontCare,-1
002645.png,1032.2,170.18,1063.54,183.41,DontCare,-1
000326.png,380.4,177.1,413.77,190.68,DontCare,-1
000326.png,443.94,172.94,483.56,186.52,DontCare,-1
000326.png,528.31,172.94,553.35,179.23,DontCare,-1
006003.png,501.23,181.27,530.44,202.15,DontCare,-1
006003.png,591.85,173.98,603.35,184.44,DontCare,-1
006003.png,614.77,172.94,633.56,185.48,DontCare,-1
006003.png,665.81,166.69,715.85,184.44,DontCare,-1
006003.png,986.65,159.4,1121.07,200.07,DontCare,-1
004413.png,585.46,177.81,592.42,182.88,DontCare,-1
004413.png,628.1,175.07,663.54,186.1,DontCare,-1
005129.png,11.65,192.73,41.9,244.85,DontCare,-1
005528.png,505.4,177.1,557.52,192.77,DontCare,-1
005528.png,694.98,170.85,708.56,191.72,DontCare,-1
004047.png,447.3,180.21,469.59,192.79,DontCare,-1
004047.png,614.19,176.33,634.54,187.94,DontCare,-1
004047.png,646.21,173.42,659.76,184.06,DontCare,-1
003911.png,528.97,174.71,573.9,200.23,DontCare,-1
003911.png,758.61,161.13,769.9,184.06,DontCare,-1
003911.png,807.77,161.77,824.24,189.23,DontCare,-1
006433.png,415.71,174.74,436.29,202.52,DontCare,-1
006433.png,786.74,158.29,821.71,173.73,DontCare,-1
006433.png,626.4,163.43,638.76,174.76,DontCare,-1
005576.png,587.69,165.65,609.61,183.4,DontCare,-1
005576.png,611.65,152.1,623.15,165.68,DontCare,-1
001022.png,879.57,153.26,909.17,196.88,DontCare,-1
004378.png,523.95,183.12,544.3,196.68,DontCare,-1
002996.png,656.4,182.47,694.21,203.46,DontCare,-1
001280.png,164.78,180.53,236.23,204.76,DontCare,-1
005103.png,433.52,133.35,459.6,145.89,DontCare,-1
005653.png,337.69,180.23,367.94,199.02,DontCare,-1
005653.png,392.53,174.95,421.3,195.42,DontCare,-1
003457.png,846.58,160.48,860.46,178.89,DontCare,-1
003457.png,886.04,152.72,912.86,169.19,DontCare,-1
001572.png,555.49,170.83,601.07,206.7,DontCare,-1
001572.png,527.67,175.36,538.31,202.18,DontCare,-1
002662.png,552.9,174.71,581.01,203.47,DontCare,-1
002524.png,105.64,163.46,148.63,194.97,DontCare,-1
003368.png,428.22,162.19,480.77,195.62,DontCare,-1
003368.png,883.39,152.62,905.34,193.06,DontCare,-1
003368.png,509.82,168.56,528.58,184.77,DontCare,-1
003942.png,847.88,172.12,861.76,204.11,DontCare,-1
003942.png,713.97,181.18,734.96,193.76,DontCare,-1
003126.png,525.73,161.77,534.43,170.47,DontCare,-1
006950.png,848.1,156.27,932.52,180.27,DontCare,-1
006950.png,661.65,164.6,757.52,193.81,DontCare,-1
006950.png,508.52,179.19,558.56,202.15,DontCare,-1
006950.png,577.27,176.06,592.94,187.56,DontCare,-1
006950.png,602.27,175.02,631.48,190.69,DontCare,-1
004958.png,615.9,165.2,634.64,178.74,DontCare,-1
000189.png,231.74,132.6,390.05,218.96,DontCare,-1
000189.png,503.07,140.82,523.65,176.82,DontCare,-1
000189.png,717.87,124.38,1222.0,171.69,DontCare,-1
006749.png,559.6,162.4,572.99,175.79,DontCare,-1
002391.png,431.29,169.53,575.19,192.46,DontCare,-1
002391.png,640.23,168.24,663.81,184.06,DontCare,-1
002391.png,614.35,176.0,630.82,182.76,DontCare,-1
004790.png,572.47,177.78,590.88,193.28,DontCare,-1
004790.png,625.84,174.87,652.98,197.16,DontCare,-1
000421.png,171.06,189.65,204.61,203.73,DontCare,-1
000421.png,155.4,190.65,196.07,209.44,DontCare,-1
001078.png,0.0,323.49,303.68,373.0,DontCare,-1
001078.png,550.96,162.42,626.29,193.76,DontCare,-1
004044.png,598.67,172.45,619.99,188.92,DontCare,-1
004044.png,833.48,161.77,877.11,178.24,DontCare,-1
006673.png,157.48,186.48,207.52,207.35,DontCare,-1
006296.png,682.48,169.81,713.77,187.56,DontCare,-1
001105.png,580.72,175.36,599.13,197.0,DontCare,-1
000150.png,745.3,168.32,761.92,181.29,DontCare,-1
000150.png,682.48,169.81,699.19,184.44,DontCare,-1
006040.png,819.98,173.98,856.48,185.48,DontCare,-1
002901.png,389.89,174.71,555.78,197.0,DontCare,-1
002901.png,622.76,176.65,627.58,184.71,DontCare,-1
000992.png,580.4,167.73,587.73,192.77,DontCare,-1
